차량, 질량, 속도, 충격량, 거리
Mili, 10000, 39.74459, 401271.6, 1.4619070148468
Hyper, 600, 39.28296, 26836.06, 2.4619070148468
Mili, 10000, 59.4697, 597297.9, 2.43202696800232
Hyper, 600, 59.23837, 40627.09, 5.43202696800232
Mili, 10000, 74.43478, 749730.2, 4.27918683052063
Hyper, 600, 73.69672, 50318.79, 7.27918683052063
Mili, 10000, 87.42519, 882629.8, 6.8683804130554
Hyper, 600, 87.31471, 59982.34, 10.8683804130554
Mili, 10000, 25.03589, 255721.5, 12.2299998855591
Hyper, 600, 25.42957, 17349.94, 16.2299998855591
Mili, 10000, 39.53509, 397516.4, 12.2299998855591
Hyper, 600, 39.07221, 26694.76, 16.2291844940186
Mili, 10000, 59.92785, 605805.3, 12.2299998855591
Hyper, 600, 59.6861, 40868.43, 16.2299998855591
Mili, 10000, 73.50265, 738215.1, 3.36845384597778
Hyper, 600, 72.7831, 49768.36, 7.36845384597778
